# Moho depth
# POINTS: 2001
371500 5208.35
371750 5205.48
372000 5202.6
372250 5199.8
372500 5197
372750 5194.2
373000 5191.4
373250 5188.65
373500 5185.9
373750 5183.15
374000 5180.4
374250 5177.7
374500 5175
374750 5172.3
375000 5169.6
375250 5166.95
375500 5164.3
375750 5161.65
376000 5159
376250 5156.38
376500 5153.75
376750 5151.13
377000 5148.5
377250 5145.95
377500 5143.4
377750 5140.85
378000 5138.3
378250 5135.8
378500 5133.3
378750 5130.8
379000 5128.3
379250 5125.83
379500 5123.35
379750 5120.88
380000 5118.4
380250 5116
380500 5113.6
380750 5111.2
381000 5108.8
381250 5106.43
381500 5104.05
381750 5101.68
382000 5099.3
382250 5096.98
382500 5094.65
382750 5092.32
383000 5090
383250 5087.7
383500 5085.4
383750 5083.1
384000 5080.8
384250 5078.55
384500 5076.3
384750 5074.05
385000 5071.8
385250 5069.6
385500 5067.4
385750 5065.2
386000 5063
386250 5060.82
386500 5058.65
386750 5056.48
387000 5054.3
387250 5052.1
387500 5049.9
387750 5047.7
388000 5045.5
388250 5043.38
388500 5041.25
388750 5039.13
389000 5037
389250 5034.88
389500 5032.75
389750 5030.63
390000 5028.5
390250 5026.45
390500 5024.4
390750 5022.35
391000 5020.3
391250 5018.25
391500 5016.2
391750 5014.15
392000 5012.1
392250 5010.13
392500 5008.15
392750 5006.17
393000 5004.2
393250 5002.22
393500 5000.25
393750 4998.28
394000 4996.3
394250 4994.38
394500 4992.45
394750 4990.53
395000 4988.6
395250 4986.73
395500 4984.85
395750 4982.98
396000 4981.1
396250 4979.25
396500 4977.4
396750 4975.55
397000 4973.7
397250 4971.88
397500 4970.05
397750 4968.22
398000 4966.4
398250 4964.63
398500 4962.85
398750 4961.08
399000 4959.3
399250 4957.55
399500 4955.8
399750 4954.05
400000 4952.3
400250 4950.58
400500 4948.85
400750 4947.13
401000 4945.4
401250 4943.7
401500 4942
401750 4940.3
402000 4938.6
402250 4936.95
402500 4935.3
402750 4933.65
403000 4932
403250 4930.38
403500 4928.75
403750 4927.13
404000 4925.5
404250 4923.88
404500 4922.25
404750 4920.63
405000 4919
405250 4917.43
405500 4915.85
405750 4914.27
406000 4912.7
406250 4911.15
406500 4909.6
406750 4908.05
407000 4906.5
407250 4904.98
407500 4903.45
407750 4901.92
408000 4900.4
408250 4898.92
408500 4897.45
408750 4895.98
409000 4894.5
409250 4893.02
409500 4891.55
409750 4890.08
410000 4888.6
410250 4887.15
410500 4885.7
410750 4884.25
411000 4882.8
411250 4881.38
411500 4879.95
411750 4878.53
412000 4877.1
412250 4875.73
412500 4874.35
412750 4872.98
413000 4871.6
413250 4870.23
413500 4868.85
413750 4867.48
414000 4866.1
414250 4864.75
414500 4863.4
414750 4862.05
415000 4860.7
415250 4859.38
415500 4858.05
415750 4856.72
416000 4855.4
416250 4854.1
416500 4852.8
416750 4851.5
417000 4850.2
417250 4848.9
417500 4847.6
417750 4846.3
418000 4845
418250 4843.75
